Trainer done: <tpg.trainer.Trainer object at 0x0000024E1C5B3E10>
Gen: 72, Best Score: -311.94685900755536, Avg Score: -inf, Time: 2.1455880524714788
Gen: 73, Best Score: -317.41618126947515, Avg Score: -inf, Time: 2.1625797975725596
Gen: 74, Best Score: -312.54501842865636, Avg Score: -inf, Time: 2.1801309922006396
Gen: 75, Best Score: -322.1196160651383, Avg Score: -inf, Time: 2.1972901245620515
Gen: 76, Best Score: -313.1673463054317, Avg Score: -inf, Time: 2.2150131662686667
Gen: 77, Best Score: -311.30846972657497, Avg Score: -inf, Time: 2.2328656882709925
Gen: 78, Best Score: -312.70553905672347, Avg Score: -inf, Time: 2.2513155349095664
Gen: 79, Best Score: -317.8462604984741, Avg Score: -2428481922132520.5, Time: 2.2689905380540423
Gen: 80, Best Score: -306.168674662181, Avg Score: -1.424658668008611e+129, Time: 2.286546504497528
Gen: 81, Best Score: -315.4683952278539, Avg Score: -inf, Time: 2.303592873281903
Gen: 82, Best Score: -321.560479753618, Avg Score: -inf, Time: 2.3199628652466666
Gen: 83, Best Score: -303.3345376770144, Avg Score: -inf, Time: 2.337016122208701
Gen: 84, Best Score: -323.02049003820355, Avg Score: -inf, Time: 2.3538358721468184
Gen: 85, Best Score: -325.4377011461947, Avg Score: -inf, Time: 2.370373383760452
Gen: 86, Best Score: -327.44164288226614, Avg Score: -inf, Time: 2.3874317610263827
Gen: 87, Best Score: -301.61322235402133, Avg Score: -6.701458724209035e+123, Time: 2.404205076628261
Gen: 88, Best Score: -315.24259223831604, Avg Score: -inf, Time: 2.4209754814041986
Gen: 89, Best Score: -302.3456372378354, Avg Score: -inf, Time: 2.4381750553846357
Gen: 90, Best Score: -304.70588237866343, Avg Score: -inf, Time: 2.455785258875953
Gen: 91, Best Score: -242.07729319763135, Avg Score: -393.70841887610675, Time: 2.4724701154232025
Gen: 92, Best Score: -267.5377353394918, Avg Score: -inf, Time: 2.489179243048032
Gen: 93, Best Score: -237.77422683674354, Avg Score: -inf, Time: 2.5068570011191897
Gen: 94, Best Score: -217.18864006097502, Avg Score: -inf, Time: 2.5251235681772233
Gen: 95, Best Score: -231.49809415345766, Avg Score: -inf, Time: 2.5422738263342115
Gen: 96, Best Score: -203.10237328221226, Avg Score: -1155374583987.4802, Time: 2.5589275852839153
Gen: 97, Best Score: -199.39859915207404, Avg Score: -inf, Time: 2.5765998221106
Gen: 98, Best Score: -198.49516733167803, Avg Score: -inf, Time: 2.59541617333889
Gen: 99, Best Score: -198.49516733167803, Avg Score: -inf, Time: 2.6146789668665993
Gen: 100, Best Score: -197.89926507443286, Avg Score: -inf, Time: 2.633984873096148
Gen: 101, Best Score: -197.89926507443286, Avg Score: -inf, Time: 2.6538556282387837
Gen: 102, Best Score: -197.89926507443286, Avg Score: -inf, Time: 2.6740273674329122
Gen: 103, Best Score: -195.44679491719495, Avg Score: -inf, Time: 2.6938673340611987
Gen: 104, Best Score: -197.81232944105696, Avg Score: -inf, Time: 2.717595531079504
Gen: 105, Best Score: -197.10950006004353, Avg Score: -2.288079073849654e+75, Time: 2.741218438744545
Gen: 106, Best Score: -197.33947672349228, Avg Score: -inf, Time: 2.7666148340702055
Gen: 107, Best Score: -197.42224451097812, Avg Score: -2.767260523000971e+125, Time: 2.7940628897481496
Gen: 108, Best Score: -197.34590159267913, Avg Score: -inf, Time: 2.8178561449713175
Gen: 109, Best Score: -197.24251047644296, Avg Score: -1000.0096007934068, Time: 2.8402716665797763
Gen: 110, Best Score: -197.19767704386382, Avg Score: -257.2564324479814, Time: 2.861618230674002
Gen: 111, Best Score: -197.00100407394388, Avg Score: -inf, Time: 2.882001507613394
Gen: 112, Best Score: -197.59684261656372, Avg Score: -6.712946368021702e+57, Time: 2.9039263800779977
Gen: 113, Best Score: -195.8449882198987, Avg Score: -inf, Time: 2.925487280289332
Gen: 114, Best Score: -196.79019880095615, Avg Score: -inf, Time: 2.9456105006403392
Gen: 115, Best Score: -189.14195976969646, Avg Score: -inf, Time: 2.965333907670445
Gen: 116, Best Score: -197.23915884812783, Avg Score: -246.0965035884958, Time: 2.98469702217314
Gen: 117, Best Score: -196.72081063455772, Avg Score: -inf, Time: 3.004532134268019
Gen: 118, Best Score: -197.25866716637063, Avg Score: -inf, Time: 3.023444398774041
Gen: 119, Best Score: -197.1973160672149, Avg Score: -inf, Time: 3.0420526100529566
Gen: 120, Best Score: -196.54396884072486, Avg Score: -878.0951637778493, Time: 3.0609165858560137
Gen: 121, Best Score: -197.46431270797945, Avg Score: -inf, Time: 3.080507957339287
Gen: 122, Best Score: -197.5382275542981, Avg Score: -262.4672669785372, Time: 3.0999959322479036
Gen: 123, Best Score: -197.47136307459238, Avg Score: -246.31155587292483, Time: 3.119497529798084
Gen: 124, Best Score: -197.289203139908, Avg Score: -897.4470615667649, Time: 3.138173997600873
Gen: 125, Best Score: -197.49686733662048, Avg Score: -inf, Time: 3.156979745758904
Gen: 126, Best Score: -197.16599512070874, Avg Score: -428.81900946839517, Time: 3.177244509127405
Gen: 127, Best Score: -197.28321197087809, Avg Score: -259.9854805355387, Time: 3.1972018433279463
Gen: 128, Best Score: -197.2685904060133, Avg Score: -256.7997366808186, Time: 3.217838698559337
Gen: 129, Best Score: -197.31046394276095, Avg Score: -inf, Time: 3.2383981282843486
Gen: 130, Best Score: -197.1195152960716, Avg Score: -2.6628522090358605e+99, Time: 3.25970363954703
Gen: 131, Best Score: -197.1763778443694, Avg Score: -878.128696170873, Time: 3.2817338460683825
Gen: 132, Best Score: -197.26057095085469, Avg Score: -inf, Time: 3.3042618499199548
Gen: 133, Best Score: -197.5241097971578, Avg Score: -246.81031429517682, Time: 3.326988363067309
Gen: 134, Best Score: -197.3394002315845, Avg Score: -244.2589051647106, Time: 3.3504884195990035
Gen: 135, Best Score: -197.36244955304005, Avg Score: -inf, Time: 3.3746148787604437
Gen: 136, Best Score: -197.13406581827186, Avg Score: -250.62604027828485, Time: 3.39913703209824
Gen: 137, Best Score: -197.15041464361505, Avg Score: -244.3649625349293, Time: 3.423529342942768
Gen: 138, Best Score: -197.3719526527731, Avg Score: -250.48310353214572, Time: 3.4478257516357633
Gen: 139, Best Score: -197.3439687747123, Avg Score: -292.2428468715408, Time: 3.471871762341923
Gen: 140, Best Score: -197.3394002315845, Avg Score: -1.376071359710219e+146, Time: 3.496284628179338
Gen: 141, Best Score: -196.79974778942065, Avg Score: -inf, Time: 3.520661171078682
Gen: 142, Best Score: -197.0000599330139, Avg Score: -237.61621010632965, Time: 3.5470664658149085
Gen: 143, Best Score: -197.23927699034283, Avg Score: -267.64638518031256, Time: 3.572662485109435
Gen: 144, Best Score: -197.3394002315845, Avg Score: -1.929087025697604e+53, Time: 3.5973449183834925
Gen: 145, Best Score: -197.25203182330856, Avg Score: -inf, Time: 3.6226326330502827
