Gen: 0, Best Score: -146.65906144502378, Avg Score: -inf, Time: 0.01211928301387363
Gen: 1, Best Score: -146.65906144502378, Avg Score: -inf, Time: 0.024346950716442533
Gen: 2, Best Score: -146.65906144502378, Avg Score: -inf, Time: 0.035235681864950394
Gen: 3, Best Score: -146.65906144502378, Avg Score: -inf, Time: 0.04578872210449643
Gen: 4, Best Score: -146.65906144502378, Avg Score: -inf, Time: 0.057534223132663306
Gen: 5, Best Score: -146.65906144502378, Avg Score: -inf, Time: 0.06894062274032169
Gen: 6, Best Score: -105.52598042067797, Avg Score: -inf, Time: 0.08018846458858914
Gen: 7, Best Score: -105.52598042067797, Avg Score: -inf, Time: 0.09250993298159706
Gen: 8, Best Score: -105.52598042067797, Avg Score: -inf, Time: 0.10386652025911543
Gen: 9, Best Score: -105.52598042067797, Avg Score: -inf, Time: 0.11531624085373349
Gen: 10, Best Score: -105.52598042067797, Avg Score: -inf, Time: 0.12734007742669848
Gen: 11, Best Score: -105.52598042067797, Avg Score: -inf, Time: 0.14092235313521492
Gen: 12, Best Score: -105.52598042067797, Avg Score: -inf, Time: 0.15417812645435333
Gen: 13, Best Score: -105.52598042067797, Avg Score: -inf, Time: 0.16697108334965177
Gen: 14, Best Score: -105.52598042067797, Avg Score: -inf, Time: 0.18119115180439418
Gen: 15, Best Score: -105.52598042067797, Avg Score: -inf, Time: 0.19383463283379873
Gen: 16, Best Score: -105.52598042067797, Avg Score: -inf, Time: 0.20591038876109652
Gen: 17, Best Score: -105.52598042067797, Avg Score: -inf, Time: 0.21825505402353074
Gen: 18, Best Score: -104.59318088742354, Avg Score: -inf, Time: 0.23050714777575598
Gen: 19, Best Score: -105.16114857199531, Avg Score: -inf, Time: 0.24195726136366527
Gen: 20, Best Score: -104.8249158443547, Avg Score: -inf, Time: 0.25541068818834095
Gen: 21, Best Score: -104.71913718638473, Avg Score: -inf, Time: 0.26732261783546873
Gen: 22, Best Score: -104.60165571271091, Avg Score: -inf, Time: 0.28053334381845263
Gen: 23, Best Score: -104.51334848122984, Avg Score: -inf, Time: 0.29348775585492454
Gen: 24, Best Score: -104.94506182017547, Avg Score: -inf, Time: 0.3070828560988108
Gen: 25, Best Score: -104.5296222401508, Avg Score: -2.121524487266991e+147, Time: 0.3216042094098197
Gen: 26, Best Score: -104.75900670107862, Avg Score: -inf, Time: 0.3343335829840766
Gen: 27, Best Score: -104.29157615360558, Avg Score: -inf, Time: 0.34698714958296883
Gen: 28, Best Score: -104.64873597860313, Avg Score: -inf, Time: 0.35933145026365915
Gen: 29, Best Score: -104.75154052361157, Avg Score: -inf, Time: 0.3742920997407701
Gen: 30, Best Score: -104.47132266052598, Avg Score: -inf, Time: 0.38717028823163774
Gen: 31, Best Score: -104.38383206890673, Avg Score: -inf, Time: 0.4008670219447878
Gen: 32, Best Score: -104.64666585983852, Avg Score: -inf, Time: 0.4147181763251622
Gen: 33, Best Score: -104.25670705320837, Avg Score: -inf, Time: 0.4297279867861006
Gen: 34, Best Score: -104.45036860758354, Avg Score: -inf, Time: 0.44360548079013823
Gen: 35, Best Score: -104.5010042977727, Avg Score: -inf, Time: 0.45703687502278223
Gen: 36, Best Score: -104.4715990469718, Avg Score: -inf, Time: 0.4759037531746758
Gen: 37, Best Score: -103.88169755427356, Avg Score: -inf, Time: 0.4925441649225023
Gen: 38, Best Score: -104.2932051535402, Avg Score: -inf, Time: 0.5096442027886708
Gen: 39, Best Score: -104.3480056683106, Avg Score: -inf, Time: 0.5287145404683219
Gen: 40, Best Score: -104.17682854805096, Avg Score: -inf, Time: 0.5476724044481913
Gen: 41, Best Score: -104.27836635027842, Avg Score: -inf, Time: 0.5660154487689336
Gen: 42, Best Score: -104.12699064298207, Avg Score: -inf, Time: 0.5890557045406766
Gen: 43, Best Score: -104.09002651707021, Avg Score: -inf, Time: 0.6113338602251477
Gen: 44, Best Score: -104.24026569524565, Avg Score: -inf, Time: 0.632935407559077
Gen: 45, Best Score: -104.1452840456372, Avg Score: -inf, Time: 0.6566767029629813
Gen: 46, Best Score: -104.12724175674097, Avg Score: -inf, Time: 0.6800153085258271
Gen: 47, Best Score: -104.08684760308944, Avg Score: -inf, Time: 0.7014023792081409
Gen: 48, Best Score: -99.77368383865006, Avg Score: -inf, Time: 0.7244839848412408
Gen: 49, Best Score: -99.91870498692874, Avg Score: -inf, Time: 0.7479795936081145
Gen: 50, Best Score: -100.19380743526084, Avg Score: -inf, Time: 0.7711842317713632
Gen: 51, Best Score: -100.27359795800886, Avg Score: -inf, Time: 0.7938638117578295
Gen: 52, Best Score: -99.16147746314704, Avg Score: -inf, Time: 0.8173398419883516
Gen: 53, Best Score: -93.80590455080616, Avg Score: -inf, Time: 0.8396882614824507
Gen: 54, Best Score: -93.80590455080616, Avg Score: -inf, Time: 0.862118514113956
Gen: 55, Best Score: -93.80590455080616, Avg Score: -4.446320706790294e+98, Time: 0.8858761636416117
