Gen: 0, Best Score: -233.47235356606083, Avg Score: -inf, Time: 0.002035862273640103
Gen: 1, Best Score: -240.75270291375637, Avg Score: -inf, Time: 0.0030841667122311063
Gen: 2, Best Score: -213.18602299940372, Avg Score: -inf, Time: 0.004008899794684516
Gen: 3, Best Score: -213.18602299940372, Avg Score: -inf, Time: 0.004915508627891541
Gen: 4, Best Score: -213.18602299940372, Avg Score: -inf, Time: 0.005667007499270969
Gen: 5, Best Score: -213.18602299940372, Avg Score: -inf, Time: 0.006352298988236321
Gen: 6, Best Score: -213.18602299940372, Avg Score: -6.373041401338227e+118, Time: 0.007044617666138543
Gen: 7, Best Score: -213.18602299940372, Avg Score: -7.044704696529629e+126, Time: 0.007666738960478041
Gen: 8, Best Score: -213.18602299940372, Avg Score: -inf, Time: 0.008238830036587185
Gen: 9, Best Score: -213.18602299940372, Avg Score: -3.4885591996822875e+68, Time: 0.008798815740479363
Validation champ met/exceeded the best test score with (UUID('ffe8f992-e9e7-4fee-8398-ca9a3d0a041d'), {'task': -241.5040606258527, 'validation': -262.6132007475673}) on test data.
Gen: 10, Best Score: -201.65040146595345, Avg Score: -1.4849591113756743e+36, Time: 0.010276757346259224
Gen: 11, Best Score: -213.18602299940372, Avg Score: -3.575850312837923e+84, Time: 0.010901548994912042
Gen: 12, Best Score: -204.22441866146687, Avg Score: -8.748668842986501e+80, Time: 0.01146203703350491
Gen: 13, Best Score: -213.18602299940372, Avg Score: -2.7602193555565678e+51, Time: 0.01198337627781762
Gen: 14, Best Score: -213.18602299940372, Avg Score: -3.142225258863785e+88, Time: 0.012523172166612414
Gen: 15, Best Score: -183.22512155452426, Avg Score: -1.384184235801572e+56, Time: 0.013024773001670837
Gen: 16, Best Score: -183.5170048622098, Avg Score: -6.849638401281509e+52, Time: 0.013659061524603102
Gen: 17, Best Score: -178.03521005620527, Avg Score: -2.7681446258968325e+66, Time: 0.014235950840844048
Gen: 18, Best Score: -180.61339716687377, Avg Score: -2.0352953752175515e+70, Time: 0.014766256809234619
Gen: 19, Best Score: -178.8199266596167, Avg Score: -2.623069650918768e+115, Time: 0.015313378506236605
Validation champ met/exceeded the best test score with (UUID('ff32bb8d-5071-4f7b-82b1-a4ddf3d5c54f'), {'validation': -326.09667382453836}) on test data.
Gen: 20, Best Score: -176.31102644142663, Avg Score: -9.977076720949679e+23, Time: 0.01675213177998861
Gen: 21, Best Score: -173.4772848769099, Avg Score: -4.131790021438531e+112, Time: 0.01725658072365655
Gen: 22, Best Score: -174.83935492819882, Avg Score: -1.4028053230315704e+56, Time: 0.017789810498555502
Gen: 23, Best Score: -166.91924392168724, Avg Score: -2.6892757318639145e+56, Time: 0.018359721965259975
Gen: 24, Best Score: -162.05705455709375, Avg Score: -3.2943910231351534e+65, Time: 0.018961625695228575
Gen: 25, Best Score: -163.97216582490836, Avg Score: -1.192414157225164e+56, Time: 0.019597768121295506
Gen: 26, Best Score: -161.9031635985224, Avg Score: -1.568536050150636e+26, Time: 0.020229517155223423
Gen: 27, Best Score: -163.49481082330192, Avg Score: -4.5959298641212813e+55, Time: 0.02092942562368181
Gen: 28, Best Score: -163.97216582490836, Avg Score: -5.211680709331332e+37, Time: 0.021560092237260606
Gen: 29, Best Score: -163.97216582490836, Avg Score: -4.693073890057887e+30, Time: 0.022156229548984104
