Trainer done: <tpg.trainer.Trainer object at 0x148c83c7e590>
Gen: 64, Best Score: -10083.966163211748, Avg Score: -10086.693205569736, Time: 1.5341079442368613
Gen: 65, Best Score: -10082.815208760749, Avg Score: -10086.714261791622, Time: 1.5638381371895471
Gen: 66, Best Score: -10083.191471786611, Avg Score: -10086.594707217384, Time: 1.5956851753923629
Gen: 67, Best Score: -10083.758449087412, Avg Score: -10086.66142244848, Time: 1.6274863013956282
Gen: 68, Best Score: -10083.014357566593, Avg Score: -10086.49061904716, Time: 1.6581025751431784
Gen: 69, Best Score: -10082.913528137538, Avg Score: -10086.735107820425, Time: 1.6888426203860176
Gen: 70, Best Score: -0.07467198040598526, Avg Score: -0.11839209861581165, Time: 1.7807312560743755
Gen: 71, Best Score: -10083.500758841985, Avg Score: -10086.679818625793, Time: 1.8117803493473266
Gen: 72, Best Score: -10083.372860488977, Avg Score: -10086.655287091202, Time: 1.844188604089949
Gen: 73, Best Score: -10083.722186074829, Avg Score: -10086.502018077686, Time: 1.8762871328989665
Gen: 74, Best Score: -10082.962563343412, Avg Score: -10086.492290566908, Time: 1.9080861175060273
Gen: 75, Best Score: -10083.541699011728, Avg Score: -10086.565887993316, Time: 1.9412853394614327
Gen: 76, Best Score: -10083.468812595247, Avg Score: -10086.476525089827, Time: 1.9734912592834897
Gen: 77, Best Score: -10083.379975898115, Avg Score: -10086.423821078764, Time: 2.006265363097191
Gen: 78, Best Score: -10083.581881801852, Avg Score: -10086.419591375505, Time: 2.040247258014149
Gen: 79, Best Score: -10083.493351484116, Avg Score: -10086.466772411824, Time: 2.073708976374732
Gen: 80, Best Score: -0.07655207808407892, Avg Score: -0.11337850022095446, Time: 2.205419239997864
Gen: 81, Best Score: -10083.253855275309, Avg Score: -10086.662113399345, Time: 2.2383761270840963
Gen: 82, Best Score: -10083.239117274914, Avg Score: -10086.674737013793, Time: 2.2716080845726863
Gen: 83, Best Score: -10083.215241378835, Avg Score: -10086.418087151585, Time: 2.3066031698385876
Gen: 84, Best Score: -10082.490647413082, Avg Score: -10086.442603630398, Time: 2.3409864423010083
Gen: 85, Best Score: -10083.510343199348, Avg Score: -10086.521681011962, Time: 2.374994364645746
Gen: 86, Best Score: -10083.236770528736, Avg Score: -10086.33327541618, Time: 2.4098803044027752
Gen: 87, Best Score: -10082.269355140525, Avg Score: -10086.32399105486, Time: 2.446505885190434
Gen: 88, Best Score: -10083.109205819563, Avg Score: -10086.423032299252, Time: 2.4829792484972213
Gen: 89, Best Score: -10083.517884714014, Avg Score: -10086.456085414162, Time: 2.521609678732024
Gen: 90, Best Score: -0.07655548160939771, Avg Score: -0.1111820693988226, Time: 2.6656779458787705
Gen: 91, Best Score: -10083.368602755505, Avg Score: -10086.721031630459, Time: 2.7022105228238638
