Gen: 0, Best Score: -631.7387852292337, Avg Score: -inf, Time: 0.004161398675706651
Gen: 1, Best Score: -629.5858522741406, Avg Score: -inf, Time: 0.007615733610259162
Gen: 2, Best Score: -593.2237675329877, Avg Score: -inf, Time: 0.01089366767141554
Gen: 3, Best Score: -448.1408205691444, Avg Score: -inf, Time: 0.013811278210745917
Gen: 4, Best Score: -562.3770792350712, Avg Score: -inf, Time: 0.01641444696320428
Gen: 5, Best Score: -304.826014220567, Avg Score: -inf, Time: 0.018933746682273017
Gen: 6, Best Score: -315.9836500054573, Avg Score: -inf, Time: 0.021939146253797743
Gen: 7, Best Score: -315.78649795466237, Avg Score: -inf, Time: 0.02495305081208547
Gen: 8, Best Score: -322.93016855853637, Avg Score: -inf, Time: 0.028283284505208332
Gen: 9, Best Score: -292.0295962496902, Avg Score: -inf, Time: 0.03177551560931736
Gen: 10, Best Score: -276.1574544664867, Avg Score: -inf, Time: 0.035362534390555485
Gen: 11, Best Score: -276.1574544664867, Avg Score: -inf, Time: 0.03927278518676758
Gen: 12, Best Score: -276.1574544664867, Avg Score: -inf, Time: 0.04297648813989428
Gen: 13, Best Score: -276.1574544664867, Avg Score: -inf, Time: 0.047051976124445595
Gen: 14, Best Score: -276.1574544664867, Avg Score: -inf, Time: 0.05148554351594713
Gen: 15, Best Score: -276.1574544664867, Avg Score: -inf, Time: 0.055769270857175195
Gen: 16, Best Score: -276.1574544664867, Avg Score: -inf, Time: 0.05957277403937446
Gen: 17, Best Score: -276.1574544664867, Avg Score: -inf, Time: 0.06356820391284095
Gen: 18, Best Score: -276.1574544664867, Avg Score: -inf, Time: 0.06724196010165745
Gen: 19, Best Score: -271.26660957221213, Avg Score: -inf, Time: 0.07087729705704583
Gen: 20, Best Score: -276.0117202241062, Avg Score: -inf, Time: 0.07374111043082343
Gen: 21, Best Score: -263.7050931725199, Avg Score: -inf, Time: 0.0760477485259374
Gen: 22, Best Score: -255.98030026707715, Avg Score: -inf, Time: 0.0778809149397744
Gen: 23, Best Score: -266.47996895319534, Avg Score: -inf, Time: 0.07981878790590498
Gen: 24, Best Score: -150.33876970305556, Avg Score: -inf, Time: 0.0819825514819887
Gen: 25, Best Score: -131.06671334127944, Avg Score: -inf, Time: 0.08403928094440036
Gen: 26, Best Score: -176.29329417126417, Avg Score: -inf, Time: 0.08625458068317837
Gen: 27, Best Score: -134.1372858136405, Avg Score: -inf, Time: 0.08835302220450507
Gen: 28, Best Score: -153.83314138056173, Avg Score: -inf, Time: 0.09046825177139706
Gen: 29, Best Score: -146.14490115319188, Avg Score: -inf, Time: 0.09280527234077454
Gen: 30, Best Score: -125.75268690055724, Avg Score: -inf, Time: 0.09519529547956254
Gen: 31, Best Score: -131.66404837248, Avg Score: -inf, Time: 0.09773733092678918
Gen: 32, Best Score: -130.85646548840614, Avg Score: -inf, Time: 0.10047965817981296
Gen: 33, Best Score: -136.95247755058918, Avg Score: -inf, Time: 0.1029669945107566
Gen: 34, Best Score: -123.24443071917052, Avg Score: -inf, Time: 0.10549255145920647
Gen: 35, Best Score: -125.31557326797487, Avg Score: -inf, Time: 0.10820952422089047
Gen: 36, Best Score: -103.31209702140178, Avg Score: -inf, Time: 0.11091416226492988
Gen: 37, Best Score: -110.61622482681334, Avg Score: -inf, Time: 0.11371255629592472
Gen: 38, Best Score: -106.97446032394114, Avg Score: -inf, Time: 0.11633479601807065
Gen: 39, Best Score: -102.61850994760745, Avg Score: -inf, Time: 0.11877097467581431
Gen: 40, Best Score: -92.4740196550419, Avg Score: -inf, Time: 0.12107392258114284
Gen: 41, Best Score: -89.0273307124025, Avg Score: -inf, Time: 0.12324013908704122
Gen: 42, Best Score: -89.25744052202812, Avg Score: -inf, Time: 0.12569378627671135
Gen: 43, Best Score: -100.77585801896691, Avg Score: -inf, Time: 0.12815710160467358
Gen: 44, Best Score: -90.21690660598648, Avg Score: -inf, Time: 0.13052259114053513
