Trainer done: <tpg.trainer.Trainer object at 0x1543fbfbf6d0>
Gen: 64, Best Score: -8.273557755173712, Avg Score: -8.889611189737911, Time: 0.3640281607045068
Gen: 65, Best Score: -8.376692236253575, Avg Score: -8.813891141927725, Time: 0.3692674316300286
Gen: 66, Best Score: -8.339321124567622, Avg Score: -8.80657783192141, Time: 0.3751090410020616
Gen: 67, Best Score: -8.320751347739447, Avg Score: -8.972021763111297, Time: 0.3813040793604321
Gen: 68, Best Score: -8.368859327045083, Avg Score: -8.665706285202884, Time: 0.3872760922378964
Gen: 69, Best Score: -8.360806600868735, Avg Score: -8.819159449167955, Time: 0.3935637152857251
Gen: 70, Best Score: -7.9737385972979204, Avg Score: -8.612749346535738, Time: 0.4184016711182065
Gen: 71, Best Score: -8.29565950938784, Avg Score: -8.92633751456434, Time: 0.4244953611161974
Gen: 72, Best Score: -8.296788893228097, Avg Score: -8.899104565772879, Time: 0.4318263163831499
Gen: 73, Best Score: -8.306737808965318, Avg Score: -8.823217712639936, Time: 0.4381658089160919
Gen: 74, Best Score: -8.365008955652067, Avg Score: -8.918246436083297, Time: 0.44477907445695664
Gen: 75, Best Score: -8.313257014344291, Avg Score: -8.818487240285677, Time: 0.45088278465800813
Gen: 76, Best Score: -8.30958797892942, Avg Score: -8.814078911339642, Time: 0.4568326817618476
Gen: 77, Best Score: -8.272088151917549, Avg Score: -8.933725030434625, Time: 0.46206682874096766
Gen: 78, Best Score: -8.308466152223447, Avg Score: -8.839963173695859, Time: 0.4684691392713123
Gen: 79, Best Score: -8.299336552843267, Avg Score: -8.745793361063122, Time: 0.47454699946774376
Gen: 80, Best Score: -7.920407538956203, Avg Score: -8.53377696945703, Time: 0.4982194252146615
Gen: 81, Best Score: -8.257370021968901, Avg Score: -8.844526766008995, Time: 0.5044301737679375
Gen: 82, Best Score: -8.3091001352155, Avg Score: -8.774952503344393, Time: 0.5104005102316539
Gen: 83, Best Score: -8.330766477812972, Avg Score: -8.77525478916737, Time: 0.5178991383976407
Gen: 84, Best Score: -8.305934885412501, Avg Score: -8.832113957560283, Time: 0.5246076670620177
Gen: 85, Best Score: -8.263110347659406, Avg Score: -8.829314820039345, Time: 0.5311019187503391
Gen: 86, Best Score: -8.344751850259193, Avg Score: -8.74035723653629, Time: 0.5375555094745424
Gen: 87, Best Score: -8.290857009721764, Avg Score: -8.765256908679765, Time: 0.5447723305887646
Gen: 88, Best Score: -8.38836234034252, Avg Score: -8.934930103628016, Time: 0.5511523130867216
Gen: 89, Best Score: -8.321179258122719, Avg Score: -8.958300197962537, Time: 0.5576297836171256
Gen: 90, Best Score: -7.93919570198903, Avg Score: -8.638838837511308, Time: 0.5922384494543076
Gen: 91, Best Score: -8.309029312578131, Avg Score: -8.754131177206476, Time: 0.5990793694390191
Gen: 92, Best Score: -8.376878125363133, Avg Score: -8.750612779389424, Time: 0.6061228866709604
Gen: 93, Best Score: -8.335278345795537, Avg Score: -8.806703826086066, Time: 0.6129311737087038
Gen: 94, Best Score: -8.33766114869669, Avg Score: -9.0255452031618, Time: 0.6197060926755269
Gen: 95, Best Score: -8.340448981920769, Avg Score: -8.810566013311737, Time: 0.626373347375128
Gen: 96, Best Score: -8.290461981402203, Avg Score: -8.827944681485336, Time: 0.6333133633269205
Gen: 97, Best Score: -8.363232042964006, Avg Score: -9.109350668498337, Time: 0.6403295480542712
Gen: 98, Best Score: -8.365380388311822, Avg Score: -8.720623970768258, Time: 0.6478132269117567
Gen: 99, Best Score: -8.314893268596691, Avg Score: -8.789914088108688, Time: 0.6562693011098438
Gen: 100, Best Score: -8.006902137497766, Avg Score: -8.689164701632174, Time: 0.6798737379577425
Gen: 101, Best Score: -8.29808285187511, Avg Score: -8.803500945051523, Time: 0.6876444846391678
Gen: 102, Best Score: -8.34844166054772, Avg Score: -8.78208911130633, Time: 0.6957601410150528
Gen: 103, Best Score: -8.273036619753448, Avg Score: -8.732669985017871, Time: 0.7041241182883581
Gen: 104, Best Score: -8.304908757167608, Avg Score: -8.807850460457516, Time: 0.7118279567029742
Gen: 105, Best Score: -8.252518107838608, Avg Score: -8.661560960963667, Time: 0.7199823383490245
Gen: 106, Best Score: -8.325358265907996, Avg Score: -8.736841258014948, Time: 0.72732560230626
Gen: 107, Best Score: -8.318195297951661, Avg Score: -8.844572038534997, Time: 0.7344678921169705
Gen: 108, Best Score: -8.281880646366908, Avg Score: -8.612643647910591, Time: 0.7414178158839544
Gen: 109, Best Score: -8.376161186844364, Avg Score: -8.761718764350022, Time: 0.7487053965197669
Gen: 110, Best Score: -7.976914379472185, Avg Score: -8.702948190106536, Time: 0.7789695558945338
Gen: 111, Best Score: -8.328760188411232, Avg Score: -8.700097376147, Time: 0.7866464324792226
Gen: 112, Best Score: -8.256059397268825, Avg Score: -8.668983442701714, Time: 0.7934718561172486
Gen: 113, Best Score: -8.228550281242722, Avg Score: -8.841061844684548, Time: 0.8005350928836399
Gen: 114, Best Score: -8.302192393307964, Avg Score: -8.720232258581781, Time: 0.8078322438398997
Gen: 115, Best Score: -8.334263391138398, Avg Score: -8.791764940710824, Time: 0.8147251425849067
Gen: 116, Best Score: -8.34132820585053, Avg Score: -8.831273664248329, Time: 0.8216176974773407
Gen: 117, Best Score: -8.345769090554578, Avg Score: -8.860192907120496, Time: 0.8289957364400228
Gen: 118, Best Score: -8.35540914364347, Avg Score: -8.92480497764538, Time: 0.8370947568946414
Gen: 119, Best Score: -8.301199606204108, Avg Score: -8.82044185450024, Time: 0.8436547434329986
Gen: 120, Best Score: -8.039329767762583, Avg Score: -8.558917140614277, Time: 0.8772361798418893
Gen: 121, Best Score: -8.297948389078737, Avg Score: -8.813280401835774, Time: 0.8840267393986384
Gen: 122, Best Score: -8.285288192377472, Avg Score: -8.670337820729893, Time: 0.8901582900683085
Gen: 123, Best Score: -8.324239510410958, Avg Score: -8.888467426605855, Time: 0.8960918726523718
Gen: 124, Best Score: -8.308875635749324, Avg Score: -8.631967968514646, Time: 0.9029850775665708
Gen: 125, Best Score: -8.347107694791445, Avg Score: -8.80398542377956, Time: 0.9093838179773754
Gen: 126, Best Score: -8.2155523739676, Avg Score: -8.870934311224032, Time: 0.9168297833866543
Gen: 127, Best Score: -8.32246087358329, Avg Score: -8.776145607901777, Time: 0.9228749738799201
Gen: 128, Best Score: -8.326049839411207, Avg Score: -8.975644635151795, Time: 0.9288548471530279
Gen: 129, Best Score: -8.362551109139646, Avg Score: -8.67313131033966, Time: 0.9353061976035436
Gen: 130, Best Score: -7.974742766773305, Avg Score: -8.568953941627365, Time: 0.9750660622782178
Gen: 131, Best Score: -8.316136716461534, Avg Score: -8.930274246076163, Time: 0.9813758544127147
Gen: 132, Best Score: -8.30111165890762, Avg Score: -8.955537935148472, Time: 0.9865184723668629
Gen: 133, Best Score: -8.326098424928059, Avg Score: -8.7517990981265, Time: 0.9918270881970723
Gen: 134, Best Score: -8.292184012451898, Avg Score: -8.804278639056594, Time: 0.9980111220147875
Gen: 135, Best Score: -8.338088544212138, Avg Score: -8.868351043313664, Time: 1.0035767771138084
Gen: 136, Best Score: -8.37123644959033, Avg Score: -8.7076092366784, Time: 1.0092796146207386
Gen: 137, Best Score: -8.321966138357386, Avg Score: -8.81452504127897, Time: 1.0150829852289625
Gen: 138, Best Score: -8.284938922720215, Avg Score: -8.739765452103278, Time: 1.0210740172200732
Gen: 139, Best Score: -8.34016409507387, Avg Score: -8.838836284229735, Time: 1.0267431887653138
Gen: 140, Best Score: -7.976200550254562, Avg Score: -8.595844755997625, Time: 1.0433655811680689
Gen: 141, Best Score: -8.352925581219303, Avg Score: -8.955285045853843, Time: 1.048507284786966
Gen: 142, Best Score: -8.351266347328595, Avg Score: -8.750629388747187, Time: 1.0540062760644489
Gen: 143, Best Score: -8.274267403839689, Avg Score: -8.8334659186864, Time: 1.059391700029373
Gen: 144, Best Score: -8.278711439252572, Avg Score: -9.003304089568458, Time: 1.0642540482680003
Gen: 145, Best Score: -8.343726422298008, Avg Score: -8.91801319594854, Time: 1.0701166319184834
Gen: 146, Best Score: -8.342772580586452, Avg Score: -8.76112207632044, Time: 1.076360718144311
Gen: 147, Best Score: -8.304897511396504, Avg Score: -8.651855576959129, Time: 1.082677458855841
Gen: 148, Best Score: -8.259894527172143, Avg Score: -8.773729281076998, Time: 1.0887469878461626
Gen: 149, Best Score: -8.265622663512177, Avg Score: -8.803938700635678, Time: 1.0948268591033088
Gen: 150, Best Score: -7.9697794741121575, Avg Score: -8.622726495452017, Time: 1.140606311692132
Gen: 151, Best Score: -8.300684354201277, Avg Score: -8.75235846007466, Time: 1.1477859412299263
Gen: 152, Best Score: -8.30334394994862, Avg Score: -8.814692521653077, Time: 1.154325286017524
Gen: 153, Best Score: -8.293499527697051, Avg Score: -8.960030441054526, Time: 1.1609034025669098
Gen: 154, Best Score: -8.331321949396687, Avg Score: -8.80174410876763, Time: 1.16726927863227
Gen: 155, Best Score: -8.324030500952208, Avg Score: -8.615228100067142, Time: 1.1744880210028754
Gen: 156, Best Score: -8.240588216080392, Avg Score: -8.750167679484482, Time: 1.1818182912137773
Gen: 157, Best Score: -8.30096232153164, Avg Score: -8.77665894202092, Time: 1.1885389904843435
Gen: 158, Best Score: -8.311696531824929, Avg Score: -8.852666089594504, Time: 1.1958182628287208
Gen: 159, Best Score: -8.292830112971604, Avg Score: -8.895861621123867, Time: 1.2033892281850178
Gen: 160, Best Score: -7.9954271731355435, Avg Score: -8.59440206148754, Time: 1.230116141239802
Gen: 161, Best Score: -8.281493673207594, Avg Score: -8.804209788984988, Time: 1.2369336746136348
Gen: 162, Best Score: -8.293961186714643, Avg Score: -8.904834714091058, Time: 1.24474455151293
Gen: 163, Best Score: -8.303816926455333, Avg Score: -8.781642068910799, Time: 1.2510763269000584
Gen: 164, Best Score: -8.32965134970795, Avg Score: -8.843226147405513, Time: 1.2575819144646327
Gen: 165, Best Score: -8.343806158255184, Avg Score: -8.709157858754887, Time: 1.2644085974825754
Gen: 166, Best Score: -8.23388996756908, Avg Score: -8.809188419382629, Time: 1.271155850622389
Gen: 167, Best Score: -8.319089327072096, Avg Score: -8.888938099924834, Time: 1.2776929773886998
Gen: 168, Best Score: -8.308766196303603, Avg Score: -8.743309432540256, Time: 1.2847000368436177
Gen: 169, Best Score: -8.320222297657866, Avg Score: -8.821542882783993, Time: 1.2919135627481673
Gen: 170, Best Score: -8.023756754795718, Avg Score: -8.599744857558344, Time: 1.3129592258400387
Gen: 171, Best Score: -8.317273131769527, Avg Score: -8.79700060653537, Time: 1.320061166551378
Gen: 172, Best Score: -8.362659282223952, Avg Score: -8.894852248699467, Time: 1.326697423723009
Gen: 173, Best Score: -8.265451825162451, Avg Score: -8.739853422774441, Time: 1.3334685043493906
Gen: 174, Best Score: -8.33989783619731, Avg Score: -8.811161251425354, Time: 1.3409153943591647
Gen: 175, Best Score: -8.345730630287331, Avg Score: -8.908973376228005, Time: 1.348436733815405
Gen: 176, Best Score: -8.288354599204423, Avg Score: -8.813792580221886, Time: 1.3556070199277666
Gen: 177, Best Score: -8.289125332450785, Avg Score: -8.81019119451516, Time: 1.3621950324376424
Gen: 178, Best Score: -8.34717069403253, Avg Score: -8.923985848101113, Time: 1.3686576882335875
Gen: 179, Best Score: -8.350318751735774, Avg Score: -8.968576514999183, Time: 1.375038948721356
Gen: 180, Best Score: -7.987885994672571, Avg Score: -8.568564901114012, Time: 1.414368846019109
Gen: 181, Best Score: -8.322301188986689, Avg Score: -8.88386764975891, Time: 1.421625971727901
