offset,duration_ppq,pitch
 0.25,  0.  , 38.25
 0.5  ,  0.   , 56.875
 0.75  ,  0.    , 66.6875
 1.     ,  0.     , 71.09375
 1.25    ,  0.      , 73.796875
 1.5      ,  0.       , 72.6484375
 1.75      ,  0.        , 73.57421875
 2.        ,  0.        , 73.03710938
 2.25      ,  0.        , 59.26855469
 3.        ,  0.        , 64.88427734
 3.25      ,  0.        , 58.69213867
 3.5       ,  0.        , 58.09606934
 3.75      ,  0.        , 59.29803467
 4.        ,  0.        , 61.89901733
 4.25      ,  0.        , 65.69950867
 5.        ,  0.        , 69.09975433
 5.25      ,  0.        , 54.79987717
 5.5       ,  0.        , 53.64993858
 5.75      ,  0.        , 55.07496929
 6.        ,  0.        , 59.78748465
 6.25      ,  0.        , 64.14374232
 6.5       ,  0.        , 67.82187116
 6.75      ,  0.        , 56.66093558
 7.5       ,  0.        , 65.08046779
 7.75     ,  0.       , 58.7902339
 8.        ,  0.        , 58.14511695
 8.25      ,  0.        , 61.32255847
 8.5       ,  0.        , 68.91127924
 8.75      ,  0.        , 72.20563962
 9.        ,  0.        , 74.35281981
 9.25     ,  0.       , 74.9264099
 9.5       ,  0.        , 75.71320495
 9.75      ,  0.        , 73.60660248
10.        ,  0.        , 74.05330124
10.25      ,  0.        , 73.27665062
10.5       ,  0.        , 59.38832531
11.25      ,  0.        , 64.94416265
11.5       ,  0.        , 58.72208133
11.75      ,  0.        , 58.11104066
12.        ,  0.        , 59.30552033
12.25      ,  0.        , 61.90276017
12.5       ,  0.        , 65.70138008
12.75      ,  0.        , 53.10069004
13.5       ,  0.        , 62.80034502
13.75      ,  0.        , 57.65017251
14.        ,  0.        , 57.07508626
14.25      ,  0.        , 60.78754313
14.5       ,  0.        , 66.64377156
14.75      ,  0.        , 69.07188578
15.        ,  0.        , 57.28594289
15.75      ,  0.        , 63.89297145
16.        ,  0.        , 58.19648572
16.25      ,  0.        , 57.84824286
16.5       ,  0.        , 67.17412143
16.75      ,  0.        , 71.33706072
17.        ,  0.        , 73.91853036
17.25      ,  0.        , 74.70926518
17.5       ,  0.        , 75.60463259
17.75      ,  0.        , 73.55231629
18.        ,  0.        , 74.02615815
18.25      ,  0.        , 73.26307907
18.5       ,  0.        , 59.38153954
19.25      ,  0.        , 64.94076977
19.5       ,  0.        , 58.72038488
19.75      ,  0.        , 58.11019244
20.        ,  0.        , 59.30509622
20.25      ,  0.        , 61.90254811
20.5       ,  0.        , 65.70127406
20.75      ,  0.        , 53.10063703
21.5       ,  0.        , 62.80031851
21.75      ,  0.        , 57.65015926
22.        ,  0.        , 57.07507963
22.25      ,  0.        , 60.78753981
22.5       ,  0.        , 64.64376991
22.75      ,  0.        , 68.07188495
23.        ,  0.        , 56.78594248
23.5       ,  0.        , 64.89297124
23.75      ,  0.        , 58.69648562
24.        ,  0.        , 58.09824281
24.25     ,  0.       , 61.2991214
24.5      ,  0.       , 68.8995607
24.75      ,  0.        , 72.19978035
25.        ,  0.        , 74.34989018
25.25      ,  0.        , 74.92494509
25.5       ,  0.        , 75.71247254
25.75      ,  0.        , 73.60623627
26.        ,  0.        , 74.05311814
26.25      ,  0.        , 73.27655907
26.5       ,  0.        , 59.38827953
27.        ,  0.        , 64.69413977
27.25      ,  0.        , 58.59706988
27.5       ,  0.        , 58.04853494
27.75      ,  0.        , 59.27426747
28.        ,  0.        , 61.88713374
28.25      ,  0.        , 65.69356687
28.5       ,  0.        , 53.09678343
29.        ,  0.        , 62.54839172
29.25      ,  0.        , 57.52419586
29.5       ,  0.        , 57.01209793
29.75      ,  0.        , 60.75604896
30.        ,  0.        , 66.62802448
30.25      ,  0.        , 69.06401224
30.5       ,  0.        , 57.28200612
31.        ,  0.        , 63.64100306
31.25      ,  0.        , 58.07050153
31.5       ,  0.        , 57.78525077
31.75      ,  0.        , 64.64262538
32.        ,  0.        , 68.57131269
32.25      ,  0.        , 71.53565635
32.5       ,  0.        , 60.01782817
33.25      ,  0.        , 68.75891409
33.5       ,  0.        , 62.12945704
33.75      ,  0.        , 61.31472852
34.        ,  0.        , 64.40736426
34.25      ,  0.        , 70.95368213
34.5       ,  0.        , 73.72684107
34.75      ,  0.        , 58.61342053
35.5       ,  0.        , 67.05671027
35.75      ,  0.        , 61.27835513
36.        ,  0.        , 60.38917757
36.25      ,  0.        , 62.94458878
36.5       ,  0.        , 69.72229439
36.75     ,  0.       , 72.1111472
37.       ,  0.       , 58.8055736
37.75     ,  0.       , 66.1527868
38.       ,  0.       , 59.3263934
38.25     ,  0.       , 58.4131967
38.5       ,  0.        , 61.45659835
38.75      ,  0.        , 67.97829917
39.        ,  0.        , 70.23914959
39.25      ,  0.        , 55.36957479
39.75     ,  0.       , 63.6847874
40.       ,  0.       , 58.0923937
40.25      ,  0.        , 61.29619685
40.5       ,  0.        , 62.89809842
40.75      ,  0.        , 69.69904921
41.        ,  0.        , 67.09952461
41.25     ,  0.       , 71.7997623
41.5       ,  0.        , 74.14988115
41.75      ,  0.        , 81.32494058
42.        ,  0.        , 78.41247029
42.25      ,  0.        , 77.45623514
42.5       ,  0.        , 76.47811757
42.75      ,  0.        , 76.48905879
43.        ,  0.        , 75.99452939
43.25     ,  0.       , 76.2472647
43.5       ,  0.        , 73.87363235
43.75      ,  0.        , 74.18681617
44.        ,  0.        , 73.34340809
44.25      ,  0.        , 59.42170404
44.75      ,  0.        , 64.71085202
45.        ,  0.        , 58.60542601
45.25      ,  0.        , 58.05271301
45.5      ,  0.       , 59.2763565
45.75      ,  0.        , 61.88817825
46.        ,  0.        , 65.69408913
46.25      ,  0.        , 53.09704456
46.75      ,  0.        , 62.54852228
47.        ,  0.        , 57.52426114
47.25      ,  0.        , 57.01213057
47.5       ,  0.        , 60.75606529
47.75      ,  0.        , 64.62803264
48.        ,  0.        , 68.06401632
48.25      ,  0.        , 56.78200816
48.75      ,  0.        , 64.89100408
49.        ,  0.        , 58.69550204
49.25      ,  0.        , 58.09775102
49.5       ,  0.        , 61.29887551
49.75      ,  0.        , 68.89943776
50.        ,  0.        , 72.19971888
50.25      ,  0.        , 74.34985944
50.5       ,  0.        , 74.92492972
50.75      ,  0.        , 75.71246486
51.        ,  0.        , 73.60623243
51.25      ,  0.        , 74.05311621
51.5       ,  0.        , 73.27655811
51.75      ,  0.        , 59.38827905
52.25      ,  0.        , 64.69413953
52.5       ,  0.        , 58.59706976
52.75      ,  0.        , 58.04853488
53.        ,  0.        , 59.27426744
53.25      ,  0.        , 61.88713372
53.5       ,  0.        , 65.69356686
53.75      ,  0.        , 53.09678343
54.25      ,  0.        , 62.54839172
54.5       ,  0.        , 57.52419586
54.75      ,  0.        , 57.01209793
55.        ,  0.        , 60.75604896
55.25      ,  0.        , 66.62802448
55.5       ,  0.        , 69.06401224
55.75      ,  0.        , 57.28200612
56.25      ,  0.        , 63.64100306
56.5       ,  0.        , 58.07050153
56.75      ,  0.        , 57.78525077
57.        ,  0.        , 64.64262538
57.25      ,  0.        , 68.57131269
57.5       ,  0.        , 71.53565635
57.75      ,  0.        , 60.01782817
58.5       ,  0.        , 68.75891409
58.75      ,  0.        , 62.12945704
59.        ,  0.        , 61.31472852
59.25      ,  0.        , 64.40736426
59.5       ,  0.        , 70.95368213
59.75      ,  0.        , 73.72684107
60.        ,  0.        , 58.61342053
60.75      ,  0.        , 67.05671027
61.        ,  0.        , 61.27835513
61.25      ,  0.        , 60.38917757
61.5       ,  0.        , 62.94458878
61.75      ,  0.        , 69.72229439
62.       ,  0.       , 72.1111472
62.25     ,  0.       , 58.8055736
63.       ,  0.       , 66.1527868
63.25     ,  0.       , 59.3263934
63.5      ,  0.       , 58.4131967
63.75      ,  0.        , 61.45659835
64.        ,  0.        , 67.97829917
64.25      ,  0.        , 70.23914959
64.5       ,  0.        , 55.36957479
65.       ,  0.       , 63.6847874
65.25     ,  0.       , 58.0923937
65.5       ,  0.        , 61.29619685
65.75      ,  0.        , 62.89809842
66.        ,  0.        , 69.69904921
66.25      ,  0.        , 67.09952461
66.5      ,  0.       , 71.7997623
66.75      ,  0.        , 74.14988115
67.        ,  0.        , 81.32494058
67.25      ,  0.        , 78.41247029
67.5       ,  0.        , 77.45623514
67.75      ,  0.        , 76.47811757
68.        ,  0.        , 76.48905879
68.25      ,  0.        , 75.99452939
68.5      ,  0.       , 76.2472647
68.75      ,  0.        , 73.87363235
69.        ,  0.        , 74.18681617
69.25      ,  0.        , 73.34340809
69.5       ,  0.        , 59.42170404
70.        ,  0.        , 64.71085202
70.25      ,  0.        , 58.60542601
70.5       ,  0.        , 58.05271301
70.75     ,  0.       , 59.2763565
71.        ,  0.        , 61.88817825
71.25      ,  0.        , 65.69408913
71.5       ,  0.        , 53.09704456
72.        ,  0.        , 62.54852228
72.25      ,  0.        , 57.52426114
72.5       ,  0.        , 57.01213057
72.75      ,  0.        , 60.75606529
73.        ,  0.        , 64.62803264
73.25      ,  0.        , 68.06401632
73.5       ,  0.        , 56.78200816
74.        ,  0.        , 64.89100408
74.25      ,  0.        , 58.69550204
74.5       ,  0.        , 58.09775102
74.75      ,  0.        , 61.29887551
75.        ,  0.        , 68.89943776
75.25      ,  0.        , 72.19971888
75.5       ,  0.        , 74.34985944
75.75      ,  0.        , 74.92492972
76.        ,  0.        , 75.71246486
76.25      ,  0.        , 73.60623243
76.5       ,  0.        , 74.05311621
76.75      ,  0.        , 73.27655811
77.        ,  0.        , 59.38827905
77.5       ,  0.        , 64.69413953
77.75      ,  0.        , 58.59706976
78.        ,  0.        , 58.04853488
78.25      ,  0.        , 59.27426744
78.5       ,  0.        , 61.88713372
78.75      ,  0.        , 65.69356686
79.        ,  0.        , 53.09678343
79.5       ,  0.        , 62.54839172
79.75      ,  0.        , 57.52419586
80.        ,  0.        , 57.01209793
