Trainer done: <tpg.trainer.Trainer object at 0x150cf6a1e590>
Gen: 62, Best Score: -0.046389286930217925, Avg Score: -0.10545464944707234, Time: 0.4670675035317739
Gen: 63, Best Score: -0.046389286930217925, Avg Score: -0.08484401490828056, Time: 0.4712713838948144
Gen: 64, Best Score: -0.046389286930217925, Avg Score: -0.08044365849313792, Time: 0.47532925605773924
Gen: 65, Best Score: -0.04627197226895633, Avg Score: -0.07307074992391786, Time: 0.4785523664289051
Gen: 66, Best Score: -0.046389286930217925, Avg Score: -0.07204255640742024, Time: 0.4813132957617442
Gen: 67, Best Score: -0.046389286930217925, Avg Score: -0.06612324923820095, Time: 0.48417935344907975
Gen: 68, Best Score: -0.045932926755781464, Avg Score: -0.06842351591199163, Time: 0.48716826266712615
Gen: 69, Best Score: -0.046389286930217925, Avg Score: -0.061746122309752995, Time: 0.4890980807940165
Gen: 70, Best Score: -10093.547519312777, Avg Score: -10094.582282291933, Time: 0.5035385562313928
Gen: 71, Best Score: -0.046389286930217925, Avg Score: -0.07118726571845622, Time: 0.5051400637626648
Gen: 72, Best Score: -0.046389286930217925, Avg Score: -0.061328823646226334, Time: 0.506744202905231
Gen: 73, Best Score: -0.046389286930217925, Avg Score: -0.06469377307916055, Time: 0.5082647461361355
Gen: 74, Best Score: -0.046389286930217925, Avg Score: -0.05861360682507074, Time: 0.5097819473346075
Gen: 75, Best Score: -0.046389286930217925, Avg Score: -0.06657526278417213, Time: 0.5113398341337839
Gen: 76, Best Score: -0.046389286930217925, Avg Score: -0.06105480335937642, Time: 0.512795174519221
Gen: 77, Best Score: -0.046389286930217925, Avg Score: -0.06313190811341488, Time: 0.514444212185012
Gen: 78, Best Score: -0.046389286930217925, Avg Score: -0.062220714775311346, Time: 0.5159571311208937
Gen: 79, Best Score: -0.046389286930217925, Avg Score: -0.07080037944701512, Time: 0.5174497309658262
Gen: 80, Best Score: -10093.716561673695, Avg Score: -10094.499335149345, Time: 0.5222926224602593
Gen: 81, Best Score: -0.046389286930217925, Avg Score: -0.06716820792136462, Time: 0.5238284934891595
Gen: 82, Best Score: -0.046389286930217925, Avg Score: -0.062110740977520014, Time: 0.5253914364841249
Gen: 83, Best Score: -0.046389286930217925, Avg Score: -0.0623367908283558, Time: 0.5270602535539203
Gen: 84, Best Score: -0.046389286930217925, Avg Score: -0.06569650368409351, Time: 0.5290412702825334
Gen: 85, Best Score: -0.046389286930217925, Avg Score: -0.06478371551871864, Time: 0.5305350173844231
Gen: 86, Best Score: -0.046389286930217925, Avg Score: -0.06200003924253956, Time: 0.5320850076940324
Gen: 87, Best Score: -0.046389286930217925, Avg Score: -0.06840419916933829, Time: 0.5336941788593929
Gen: 88, Best Score: -0.046389286930217925, Avg Score: -0.0670978109408472, Time: 0.5351766911480161
Gen: 89, Best Score: -0.046389286930217925, Avg Score: -0.06372915675031297, Time: 0.5368317643801371
Gen: 90, Best Score: -10093.919745912588, Avg Score: -10094.453564512933, Time: 0.541629639863968
Gen: 91, Best Score: -0.046389286930217925, Avg Score: -0.06267391250648478, Time: 0.5431121319532395
Gen: 92, Best Score: -0.046389286930217925, Avg Score: -0.063121612016142, Time: 0.5446198122368918
Gen: 93, Best Score: -0.046389286930217925, Avg Score: -0.06284481639502462, Time: 0.54661319884989
Gen: 94, Best Score: -0.046389286930217925, Avg Score: -0.06667008143511541, Time: 0.5482757068342633
Gen: 95, Best Score: -0.046389286930217925, Avg Score: -0.06537797222366508, Time: 0.5497286140918731
Gen: 96, Best Score: -0.04593104744769686, Avg Score: -0.06405924082296134, Time: 0.5512372053331799
Gen: 97, Best Score: -0.046389286930217925, Avg Score: -0.06457907448962849, Time: 0.5527771433856752
Gen: 98, Best Score: -0.046389286930217925, Avg Score: -0.06478080634622707, Time: 0.5545388830370374
Gen: 99, Best Score: -0.046389286930217925, Avg Score: -0.06085016125443127, Time: 0.5564978676372104
Gen: 100, Best Score: -10092.28874845437, Avg Score: -10094.508589892705, Time: 0.5659494539101918
