Gen: 0, Best Score: -162.76012163493516, Avg Score: -inf, Time: 0.0019149775637520685
Gen: 1, Best Score: -170.49514482120298, Avg Score: -inf, Time: 0.003632886939578586
Gen: 2, Best Score: -163.00411506370205, Avg Score: -inf, Time: 0.004556840260823568
Gen: 3, Best Score: -165.7831390034824, Avg Score: -inf, Time: 0.005373169448640611
Gen: 4, Best Score: -165.7831390034824, Avg Score: -inf, Time: 0.006132199433114794
Gen: 5, Best Score: -162.81126335139984, Avg Score: -inf, Time: 0.006974166697925992
Gen: 6, Best Score: -165.7831390034824, Avg Score: -inf, Time: 0.007754054996702406
Gen: 7, Best Score: -162.77039311757477, Avg Score: -inf, Time: 0.00858773085806105
Gen: 8, Best Score: -162.76012163493516, Avg Score: -inf, Time: 0.009447871049245198
Gen: 9, Best Score: -162.76012163493516, Avg Score: -2.9041284339803553e+137, Time: 0.010253927575217352
Validation champ met/exceeded the best test score with (UUID('fd7f2b09-feaf-41fe-b71f-ef91a2b5257b'), {'validation': -174.30325803981773}) on test data.
Gen: 10, Best Score: -170.46837802656032, Avg Score: -1.670522332286255e+117, Time: 0.012753757569524977
Gen: 11, Best Score: -162.76012163493516, Avg Score: -inf, Time: 0.013646604551209343
Gen: 12, Best Score: -162.76012163493516, Avg Score: -8.944904833331936e+114, Time: 0.014567390945222643
Gen: 13, Best Score: -162.76012163493516, Avg Score: -5.633586093291685e+148, Time: 0.015461621152030097
Gen: 14, Best Score: -162.76012163493516, Avg Score: -3.8644221028213707e+133, Time: 0.016384284959899055
Gen: 15, Best Score: -162.76012163493516, Avg Score: -1.6584986931169672e+147, Time: 0.01726200150118934
Gen: 16, Best Score: -162.76012163493516, Avg Score: -3.0370469680297487e+124, Time: 0.018127848108609516
Gen: 17, Best Score: -158.5912944999856, Avg Score: -2.461175981392725e+139, Time: 0.018972013261583116
Gen: 18, Best Score: -162.76012163493516, Avg Score: -1.2632848704921753e+146, Time: 0.019849624236424765
Gen: 19, Best Score: -155.40650158224975, Avg Score: -3.312043309092271e+140, Time: 0.02068064206176334
Validation champ met/exceeded the best test score with (UUID('fee07379-f5a8-4196-8f8d-2b507486769a'), {'validation': -174.30325803981773}) on test data.
Gen: 20, Best Score: -174.30325803981773, Avg Score: -2.3514066701543168e+95, Time: 0.02302505373954773
Gen: 21, Best Score: -162.76012163493516, Avg Score: -inf, Time: 0.023946945865948994
Gen: 22, Best Score: -162.76012163493516, Avg Score: -2.5682531342900324e+149, Time: 0.024796091384357875
Gen: 23, Best Score: -162.76012163493516, Avg Score: -8.334291078061744e+105, Time: 0.02566454529762268
Gen: 24, Best Score: -162.76012163493516, Avg Score: -3.9110237163404375e+113, Time: 0.02653939492172665
Gen: 25, Best Score: -163.08389767022973, Avg Score: -1.9683202070225698e+136, Time: 0.027549212376276652
Gen: 26, Best Score: -162.76012163493516, Avg Score: -6.413361185220213e+114, Time: 0.028418097429805333
Gen: 27, Best Score: -162.76012163493516, Avg Score: -1.2354647360724053e+147, Time: 0.02926215218173133
Gen: 28, Best Score: -162.76012163493516, Avg Score: -4.744387018413665e+120, Time: 0.0300569482644399
Gen: 29, Best Score: -162.76012163493516, Avg Score: -8.638363200808144e+95, Time: 0.03082614521185557
Validation champ met/exceeded the best test score with (UUID('fda1047b-8eb7-462c-b2b6-dc33029a8132'), {'task': -170.49514482120298, 'validation': -174.30325803981773}) on test data.
Gen: 30, Best Score: -174.30325803981773, Avg Score: -8.78041591144203e+109, Time: 0.033276807400915355
Gen: 31, Best Score: -162.74916704198114, Avg Score: -inf, Time: 0.03412150740623474
Gen: 32, Best Score: -162.76012163493516, Avg Score: -inf, Time: 0.03496190210183461
Gen: 33, Best Score: -162.76012163493516, Avg Score: -2.1091805085545694e+121, Time: 0.035774786869684855
Gen: 34, Best Score: -162.76012163493516, Avg Score: -9.143260113488458e+117, Time: 0.036547625925805835
Gen: 35, Best Score: -157.86283569012863, Avg Score: -inf, Time: 0.03734574112627241
Gen: 36, Best Score: -162.7224682855183, Avg Score: -2.902164107731352e+139, Time: 0.03811014850934347
Gen: 37, Best Score: -157.6075271629981, Avg Score: -1.2295023205002555e+112, Time: 0.038845650421248545
Gen: 38, Best Score: -157.63654587217587, Avg Score: -inf, Time: 0.03951819525824653
Gen: 39, Best Score: -157.63654587217587, Avg Score: -3.1005794966506676e+139, Time: 0.04010836554898156
Validation champ met/exceeded the best test score with (UUID('fe9fbf32-2be8-4fbd-a2f4-2b16f09ad35f'), {'task': -162.77022938619385, 'validation': -174.30325803981773}) on test data.
Gen: 40, Best Score: -174.11588775966356, Avg Score: -2.4201830429888346e+62, Time: 0.04166476792759365
Gen: 41, Best Score: -157.94085854468435, Avg Score: -1.1797990994086061e+94, Time: 0.04209353195296393
Gen: 42, Best Score: -157.70484170449063, Avg Score: -2.202629243922975e+51, Time: 0.04236787915229798
Gen: 43, Best Score: -153.7510120951692, Avg Score: -8.222004761638803e+49, Time: 0.042678680486149256
Gen: 44, Best Score: -154.30517419720846, Avg Score: -7.02369662340097e+24, Time: 0.04296850893232557
Gen: 45, Best Score: -153.7510120951692, Avg Score: -8.755619782340445e+59, Time: 0.043232061200671724
Gen: 46, Best Score: -156.59003098831698, Avg Score: -8.87305746633463e+23, Time: 0.04350500696235233
Gen: 47, Best Score: -153.7510120951692, Avg Score: -1.4678704741182534e+55, Time: 0.04380002670817905
Gen: 48, Best Score: -153.7510120951692, Avg Score: -4.462963432383438e+42, Time: 0.044107635418574015
Gen: 49, Best Score: -154.85119653397322, Avg Score: -9.575937882962699e+22, Time: 0.044415429631869
Validation champ met/exceeded the best test score with (UUID('ff44ff93-e035-4827-a531-d693c1eec45a'), {'validation': -5503.5437641943345}) on test data.
Gen: 50, Best Score: -173.72024086057493, Avg Score: -2.512145636535425e+18, Time: 0.045308301316367254
Gen: 51, Best Score: -153.7510120951692, Avg Score: -3.824622484064452e+86, Time: 0.04562838428550296
Gen: 52, Best Score: -153.77869157870268, Avg Score: -4.4601387083120534e+26, Time: 0.0459440772400962
Gen: 53, Best Score: -153.75259314361543, Avg Score: -1.7553719099959998e+16, Time: 0.0463015976217058
Gen: 54, Best Score: -153.86511030805096, Avg Score: -3.470225140122761e+44, Time: 0.046637482444445294
Gen: 55, Best Score: -153.75140739433465, Avg Score: -4.09191798873577e+53, Time: 0.04697150150934855
Gen: 56, Best Score: -153.7510120951692, Avg Score: -9.026631229377984e+46, Time: 0.04730355971389347
Gen: 57, Best Score: -157.6059461145519, Avg Score: -2.2598201510146174e+30, Time: 0.04764528903696272
Gen: 58, Best Score: -157.6059461145519, Avg Score: -8.678488893615792e+26, Time: 0.047941350407070586
Gen: 59, Best Score: -153.7510120951692, Avg Score: -1.429539921267642e+48, Time: 0.04826790193716685
Validation champ met/exceeded the best test score with (UUID('ff910bf0-c4e3-4870-8b14-870d9e686f4f'), {'task': -162.76012163493516, 'validation': -174.30325803981773}) on test data.
Gen: 60, Best Score: -174.1949733898749, Avg Score: -1793383.5254497223, Time: 0.049143892659081354
Gen: 61, Best Score: -157.6059461145519, Avg Score: -1.2128079441039486e+25, Time: 0.049441726803779604
Gen: 62, Best Score: -153.7510120951692, Avg Score: -3.894813694997503e+23, Time: 0.049723613262176516
Gen: 63, Best Score: -157.4305680821044, Avg Score: -4.5069772764545916e+42, Time: 0.05006265335612827
Gen: 64, Best Score: -160.29300206815986, Avg Score: -1.14308371598725e+20, Time: 0.05035495572619968
Gen: 65, Best Score: -157.6059461145519, Avg Score: -1.3953264749146565e+22, Time: 0.050656000508202445
Gen: 66, Best Score: -157.63654587217587, Avg Score: -2.3891255108946428e+20, Time: 0.05098828547530704
Gen: 67, Best Score: -153.7510120951692, Avg Score: -1.9850522422799836e+16, Time: 0.051285433371861776
Gen: 68, Best Score: -153.7510120951692, Avg Score: -1.0434756916499077e+25, Time: 0.051577030685212875
Gen: 69, Best Score: -157.62441958172755, Avg Score: -9.36621075388063e+54, Time: 0.051906407939063176
Validation champ met/exceeded the best test score with (UUID('ff910bf0-c4e3-4870-8b14-870d9e686f4f'), {'task': -162.76012163493516, 'validation': -174.30325803981773}) on test data.
Gen: 70, Best Score: -174.08933958702937, Avg Score: -1.8572079275325034e+41, Time: 0.052737668686442904
Gen: 71, Best Score: -157.63654587217587, Avg Score: -7.564177887224378e+22, Time: 0.053060915735032826
Gen: 72, Best Score: -157.63654587217587, Avg Score: -1.4044433195951377e+54, Time: 0.05333164460129208
Gen: 73, Best Score: -153.7510120951692, Avg Score: -6.7440158406272025e+22, Time: 0.05366492496596442
Gen: 74, Best Score: -153.7510120951692, Avg Score: -5.8053209024257695e+25, Time: 0.05396491951412625
Gen: 75, Best Score: -157.7292890209073, Avg Score: -4.314628700579398e+36, Time: 0.054271730648146735
Gen: 76, Best Score: -157.63654587217587, Avg Score: -2.163401076933514e+23, Time: 0.054574266605907015
Gen: 77, Best Score: -157.63654587217587, Avg Score: -1.0282474776303562e+54, Time: 0.05487397763464186
Gen: 78, Best Score: -157.6059461145519, Avg Score: -9.276079755172534e+29, Time: 0.055160407887564766
Gen: 79, Best Score: -157.63654587217587, Avg Score: -3.7265082825581705e+31, Time: 0.055481798582606844
Validation champ met/exceeded the best test score with (UUID('ff910bf0-c4e3-4870-8b14-870d9e686f4f'), {'task': -162.76012163493516, 'validation': -174.30325803981773}) on test data.
Gen: 80, Best Score: -172.26131294576447, Avg Score: -739038263.5789288, Time: 0.0563211112552219
Gen: 81, Best Score: -157.6059461145519, Avg Score: -11256343.557119163, Time: 0.05658584263589647
Gen: 82, Best Score: -157.6059461145519, Avg Score: -1.532043023904128e+55, Time: 0.05687668025493622
Gen: 83, Best Score: -157.49311170534983, Avg Score: -9.482007403533093e+18, Time: 0.05719277732902103
Gen: 84, Best Score: -157.6059461145519, Avg Score: -8.960795247172474e+30, Time: 0.05747398793697357
Gen: 85, Best Score: -157.6059461145519, Avg Score: -3.626747150189587e+25, Time: 0.05776066561539968
Gen: 86, Best Score: -153.7510120951692, Avg Score: -2.7288696498385418e+26, Time: 0.05805133230156369
Gen: 87, Best Score: -153.7510120951692, Avg Score: -3.016664387233959e+25, Time: 0.058358103301790025
Gen: 88, Best Score: -153.7510120951692, Avg Score: -1.0087600231147532e+26, Time: 0.05863995883199904
Gen: 89, Best Score: -153.7510120951692, Avg Score: -2.249188975735551e+26, Time: 0.05895859744813707
Validation champ met/exceeded the best test score with (UUID('ff910bf0-c4e3-4870-8b14-870d9e686f4f'), {'task': -162.76012163493516, 'validation': -174.30325803981773}) on test data.
Gen: 90, Best Score: -173.97149314799753, Avg Score: -3.71967289946185e+19, Time: 0.059872617257965936
Gen: 91, Best Score: -153.7510120951692, Avg Score: -8.052135129911029e+20, Time: 0.060207283099492394
Gen: 92, Best Score: -153.6683731361392, Avg Score: -1.4777686713942397e+19, Time: 0.06058324297269185
Gen: 93, Best Score: -153.7510120951692, Avg Score: -2.3301006380235002e+55, Time: 0.06094650685787201
Gen: 94, Best Score: -153.7510120951692, Avg Score: -1.315658793497868e+34, Time: 0.06130409419536591
Gen: 95, Best Score: -153.7510120951692, Avg Score: -4.929853423162782e+28, Time: 0.06163039041890039
Gen: 96, Best Score: -153.60757792834315, Avg Score: -1.0751440070467093e+53, Time: 0.061974678370687694
Gen: 97, Best Score: -153.7510120951692, Avg Score: -2.3454384176703332e+25, Time: 0.062351132896211414
Gen: 98, Best Score: -153.7510120951692, Avg Score: -1.7000342254363344e+24, Time: 0.06273541119363572
Gen: 99, Best Score: -153.7510120951692, Avg Score: -4.819431436489556e+25, Time: 0.06314910875426398
Validation champ met/exceeded the best test score with (UUID('ff443ff8-c8c8-4702-8e0f-097c944732c4'), {'validation': -174.30325803981773}) on test data.
Gen: 100, Best Score: -174.30325803981773, Avg Score: -3.045249341930596e+22, Time: 0.0644563306040234
Gen: 101, Best Score: -153.7510120951692, Avg Score: -8.560923249685147e+27, Time: 0.06496442947122785
Gen: 102, Best Score: -153.7510120951692, Avg Score: -7.5567200573124495e+25, Time: 0.06546621097458734
Gen: 103, Best Score: -153.7510120951692, Avg Score: -2.487787531077627e+37, Time: 0.06597594850593143
