Gen: 0, Best Score: -1562.8462445017885, Avg Score: -inf, Time: 0.0058599074681599935
Gen: 1, Best Score: -1473.5498379804637, Avg Score: -inf, Time: 0.011210787097613016
Gen: 2, Best Score: -1396.999569069685, Avg Score: -inf, Time: 0.016700522833400303
Gen: 3, Best Score: -1408.3256677689728, Avg Score: -inf, Time: 0.021532280445098875
Gen: 4, Best Score: -1304.0226957908185, Avg Score: -inf, Time: 0.0259565042787128
Gen: 5, Best Score: -1284.369957598253, Avg Score: -inf, Time: 0.03031820793946584
Gen: 6, Best Score: -929.2942049891253, Avg Score: -inf, Time: 0.03385643144448598
Gen: 7, Best Score: -925.9364624966688, Avg Score: -inf, Time: 0.03786523699760437
Gen: 8, Best Score: -895.8060139733702, Avg Score: -inf, Time: 0.04176202807161543
Gen: 9, Best Score: -908.9587247207887, Avg Score: -inf, Time: 0.04560937960942586
Validation champ met/exceeded the best test score with (UUID('ffa1dcbb-424d-4b25-8414-96324d5ab81e'), {'task': -1772.462431117079, 'validation': -1871.5378123128082}) on test data.
Gen: 10, Best Score: -1401.0854420225705, Avg Score: -inf, Time: 0.05860489653216468
Gen: 11, Best Score: -923.3899481646304, Avg Score: -inf, Time: 0.06215605974197388
Gen: 12, Best Score: -910.8183466725169, Avg Score: -inf, Time: 0.06564741690953572
Gen: 13, Best Score: -924.5899999775401, Avg Score: -inf, Time: 0.06897869010766347
Gen: 14, Best Score: -904.2694320713005, Avg Score: -inf, Time: 0.07156259271833632
Gen: 15, Best Score: -894.0387507758575, Avg Score: -inf, Time: 0.07384979440106286
Gen: 16, Best Score: -909.3382346708291, Avg Score: -inf, Time: 0.07587163938416375
Gen: 17, Best Score: -873.964042775715, Avg Score: -inf, Time: 0.07758011897404989
Gen: 18, Best Score: -898.509508811104, Avg Score: -inf, Time: 0.0793364166551166
Gen: 19, Best Score: -830.6463518014394, Avg Score: -inf, Time: 0.08112381557623545
Validation champ met/exceeded the best test score with (UUID('fffc0653-b325-4896-bb7a-e95279368688'), {'task': -929.2942049891253, 'validation': -1511.5914269968073}) on test data.
Gen: 20, Best Score: -1123.4224307637874, Avg Score: -inf, Time: 0.08637744777732426
Gen: 21, Best Score: -861.8388740377783, Avg Score: -inf, Time: 0.08823770172066159
Gen: 22, Best Score: -873.310458894866, Avg Score: -inf, Time: 0.09012467516793145
Gen: 23, Best Score: -817.1347188989055, Avg Score: -inf, Time: 0.0921742676364051
Gen: 24, Best Score: -843.6169158900929, Avg Score: -inf, Time: 0.09394919912020365
Gen: 25, Best Score: -869.8255603874707, Avg Score: -inf, Time: 0.0955970416466395
Gen: 26, Best Score: -870.9552391300854, Avg Score: -inf, Time: 0.097345050573349
Gen: 27, Best Score: -867.3343705151858, Avg Score: -inf, Time: 0.0990931013557646
Gen: 28, Best Score: -876.5598490406721, Avg Score: -inf, Time: 0.10106809053156111
Gen: 29, Best Score: -851.4576235057358, Avg Score: -inf, Time: 0.1027336585521698
Validation champ met/exceeded the best test score with (UUID('fff8683c-7bc2-4951-b329-c597aaf34482'), {'validation': -1462.6974707385868}) on test data.
Gen: 30, Best Score: -840.2357426795459, Avg Score: -inf, Time: 0.1078033521440294
Gen: 31, Best Score: -836.8888161679249, Avg Score: -inf, Time: 0.10948444055186378
Gen: 32, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.11122388256920708
Gen: 33, Best Score: -866.3126365532116, Avg Score: -inf, Time: 0.11285229252444373
Gen: 34, Best Score: -851.5255059661333, Avg Score: -inf, Time: 0.1145726027753618
Gen: 35, Best Score: -830.5047543533578, Avg Score: -inf, Time: 0.11642738660176595
Gen: 36, Best Score: -769.4817974820344, Avg Score: -inf, Time: 0.11802624060047998
Gen: 37, Best Score: -858.1078598719364, Avg Score: -inf, Time: 0.11975168612268236
Gen: 38, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.12143010742134518
Gen: 39, Best Score: -848.4440814794552, Avg Score: -inf, Time: 0.12315370003382364
Validation champ met/exceeded the best test score with (UUID('fef802fb-c4b4-411d-b4b5-3c1cacf8e397'), {'task': -879.80500674053, 'validation': -1462.6974707385868}) on test data.
Gen: 40, Best Score: -1001.8727499814499, Avg Score: -inf, Time: 0.12840166846911114
Gen: 41, Best Score: -813.1292382848803, Avg Score: -inf, Time: 0.13016283777025012
Gen: 42, Best Score: -813.1292382848803, Avg Score: -inf, Time: 0.13181606888771058
Gen: 43, Best Score: -813.1292382848803, Avg Score: -inf, Time: 0.13362170603540208
Gen: 44, Best Score: -812.577346952065, Avg Score: -inf, Time: 0.13525387710995143
Gen: 45, Best Score: -784.8752866735673, Avg Score: -inf, Time: 0.13691991845766704
Gen: 46, Best Score: -803.8555976214128, Avg Score: -inf, Time: 0.13854737354649438
Gen: 47, Best Score: -778.7239101549901, Avg Score: -inf, Time: 0.14028728233443366
Gen: 48, Best Score: -764.7254806654493, Avg Score: -inf, Time: 0.14203182326422797
Gen: 49, Best Score: -763.1477345438147, Avg Score: -inf, Time: 0.14364211844073402
