Trainer done: <tpg.trainer.Trainer object at 0x1492ceb3f580>
Gen: 64, Best Score: -8.576874303272348, Avg Score: -9.57868626737352, Time: 0.6266701573133469
Gen: 65, Best Score: -8.567053280017385, Avg Score: -9.516888742746836, Time: 0.6318760697709189
Gen: 66, Best Score: -8.604351553629728, Avg Score: -9.455938093839649, Time: 0.6359517892201741
Gen: 67, Best Score: -8.512994569348734, Avg Score: -9.241362470544185, Time: 0.640084690451622
Gen: 68, Best Score: -8.54299188202448, Avg Score: -9.122856731913876, Time: 0.6444034306870566
Gen: 69, Best Score: -8.566655753404646, Avg Score: -9.378478799803268, Time: 0.6480652832984924
Gen: 70, Best Score: -8.292794043401237, Avg Score: -8.708002109271364, Time: 0.6639093760649363
Gen: 71, Best Score: -8.525634024721402, Avg Score: -8.959242790553498, Time: 0.6706065061357286
Gen: 72, Best Score: -8.514093268908807, Avg Score: -8.869775981464535, Time: 0.6745567767487632
Gen: 73, Best Score: -8.514128627320861, Avg Score: -8.823060056849283, Time: 0.6779517484373516
Gen: 74, Best Score: -8.494920646992396, Avg Score: -8.771763082330505, Time: 0.6820857084459728
Gen: 75, Best Score: -8.482110314246569, Avg Score: -8.759802524111212, Time: 0.6863344464699427
Gen: 76, Best Score: -8.505664930078348, Avg Score: -8.913154060196876, Time: 0.6900853242476781
Gen: 77, Best Score: -8.483039822103423, Avg Score: -8.80405082861718, Time: 0.695315345260832
Gen: 78, Best Score: -8.484713350650242, Avg Score: -8.946983775435424, Time: 0.6999581540955437
Gen: 79, Best Score: -8.49833505429206, Avg Score: -8.69834080250852, Time: 0.7049860289361742
Gen: 80, Best Score: -8.25484209998454, Avg Score: -8.74570387329142, Time: 0.721585925022761
Gen: 81, Best Score: -8.451877126651382, Avg Score: -8.787558959706839, Time: 0.7281878528992335
Gen: 82, Best Score: -8.449150191218497, Avg Score: -8.783008264267492, Time: 0.7335605045821931
Gen: 83, Best Score: -8.482438875930299, Avg Score: -8.685724314682089, Time: 0.7389712327056461
Gen: 84, Best Score: -8.507081856267389, Avg Score: -8.902172454614703, Time: 0.7443197389443715
Gen: 85, Best Score: -8.477184690758325, Avg Score: -8.709992199163702, Time: 0.7496774188015196
Gen: 86, Best Score: -8.449507554854806, Avg Score: -8.865122070776284, Time: 0.7546261115868886
Gen: 87, Best Score: -8.483336206775718, Avg Score: -8.712591260565564, Time: 0.7597632300853729
Gen: 88, Best Score: -8.423337112675021, Avg Score: -8.810286864053436, Time: 0.764917443394661
Gen: 89, Best Score: -8.501576412501564, Avg Score: -8.75834408370884, Time: 0.7699674712949329
Gen: 90, Best Score: -8.249432831767873, Avg Score: -8.62647501519138, Time: 0.7861109271976683
Gen: 91, Best Score: -8.471086868263978, Avg Score: -8.8312656371566, Time: 0.7932484019464917
Gen: 92, Best Score: -8.447562691758668, Avg Score: -8.777442067358141, Time: 0.7989270569880803
Gen: 93, Best Score: -8.461838702528283, Avg Score: -8.61529610113672, Time: 0.8044411098957062
Gen: 94, Best Score: -8.448445543464913, Avg Score: -8.76228320957476, Time: 0.8095130482647154
Gen: 95, Best Score: -8.433106165859808, Avg Score: -8.727807120577046, Time: 0.8153125950362947
Gen: 96, Best Score: -8.468190824128882, Avg Score: -8.816452119033235, Time: 0.8207810064819124
