Gen: 0, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.005587395628293355
Gen: 1, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.011030967964066399
Gen: 2, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.01573664989736345
Gen: 3, Best Score: -871.0118579320629, Avg Score: -inf, Time: 0.02066083060370551
Gen: 4, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.024756950669818454
Gen: 5, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.028805330528153313
Gen: 6, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.03339860796928406
Gen: 7, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.0374329619275199
Gen: 8, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.04193471332391103
Gen: 9, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.04620470815234714
Validation champ met/exceeded the best test score with (UUID('fea4811d-8943-4f35-b322-bb68cfdd16d9'), {'task': -879.80500674053, 'validation': -1462.6974707385868}) on test data.
Gen: 10, Best Score: -827.9327799844733, Avg Score: -inf, Time: 0.05889607052008311
Gen: 11, Best Score: -774.2203311333552, Avg Score: -inf, Time: 0.06398864958021376
Gen: 12, Best Score: -861.0787357282006, Avg Score: -inf, Time: 0.06693837152587043
Gen: 13, Best Score: -856.1643353060037, Avg Score: -inf, Time: 0.06989250838756561
Gen: 14, Best Score: -839.9808492868273, Avg Score: -inf, Time: 0.07210522717899746
Gen: 15, Best Score: -866.1363122626218, Avg Score: -inf, Time: 0.07444946335421668
Gen: 16, Best Score: -856.4634761106969, Avg Score: -inf, Time: 0.07703105568885803
Gen: 17, Best Score: -851.2416830375266, Avg Score: -inf, Time: 0.07991212838225895
Gen: 18, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.08220929152435727
Gen: 19, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.08443737533357408
Validation champ met/exceeded the best test score with (UUID('ffc33478-e6f5-4fcb-9edb-0811f16d01b2'), {'task': -879.80500674053, 'validation': -1462.6974707385868}) on test data.
Gen: 20, Best Score: -1146.8866063966468, Avg Score: -inf, Time: 0.09102923764122857
Gen: 21, Best Score: -873.82065517304, Avg Score: -inf, Time: 0.09317293312814501
Gen: 22, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.09539681964450412
Gen: 23, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.09749169793393876
Gen: 24, Best Score: -879.3108760567798, Avg Score: -inf, Time: 0.09980673068099552
Gen: 25, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.10208955413765378
Gen: 26, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.10437947014967601
Gen: 27, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.10676090584860908
Gen: 28, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.1090994421641032
Gen: 29, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.11165987465116713
Validation champ met/exceeded the best test score with (UUID('ffc33478-e6f5-4fcb-9edb-0811f16d01b2'), {'task': -879.80500674053, 'validation': -1462.6974707385868}) on test data.
Gen: 30, Best Score: -1097.2635637408362, Avg Score: -inf, Time: 0.11843234611882104
Gen: 31, Best Score: -878.4601465035354, Avg Score: -inf, Time: 0.12057355264822642
Gen: 32, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.12284974707497491
