LOADED TRAINER
LOADED GEN NUMBER:  999
Gen: 1050, Best Score: -136.39440500348547, Avg Score: -8.204610845876316e+28, Time: 0.07029756863911947
Gen: 1051, Best Score: -144.3414133947948, Avg Score: -9.743889118486234e+80, Time: 0.07136358976364136
Gen: 1052, Best Score: -144.3414133947948, Avg Score: -9.116898252506286e+52, Time: 0.07239761524730258
Gen: 1053, Best Score: -144.3414133947948, Avg Score: -5.19387844500697e+87, Time: 0.07352776189645131
Gen: 1054, Best Score: -144.3414133947948, Avg Score: -7.860098360733055e+55, Time: 0.07456018136607276
Gen: 1055, Best Score: -144.3414133947948, Avg Score: -5.294549853753355e+55, Time: 0.07561307125621372
Gen: 1056, Best Score: -144.3414133947948, Avg Score: -9.030663484510563e+58, Time: 0.07669006095992194
Gen: 1057, Best Score: -144.3414133947948, Avg Score: -1.0377630971206986e+56, Time: 0.07776662051677703
Gen: 1058, Best Score: -144.3414133947948, Avg Score: -3.8885150649311226e+111, Time: 0.07880688700411055
Gen: 1059, Best Score: -144.3414133947948, Avg Score: -1.4463799098481143e+55, Time: 0.07988680806424883
Validation champ met/exceeded the best test score with (UUID('ff72910d-fd1b-498a-ae44-d1d15005313a'), {'validation': -254.7190281642899}) on test data.
Gen: 1060, Best Score: -140.26223331103006, Avg Score: -9.869822148545888e+20, Time: 0.08278955088721382
Gen: 1061, Best Score: -144.3414133947948, Avg Score: -1.1586998632701065e+28, Time: 0.08383397493097518
Gen: 1062, Best Score: -144.3414133947948, Avg Score: -5.787894326587195e+54, Time: 0.08500442730055915
Gen: 1063, Best Score: -144.19790037810287, Avg Score: -5.261621401379136e+55, Time: 0.08603876358932919
Gen: 1064, Best Score: -144.19790037810287, Avg Score: -6.718115121566941e+93, Time: 0.08706374579005771
Gen: 1065, Best Score: -144.19790037810287, Avg Score: -6.989706888520482e+40, Time: 0.08816720896297031
Gen: 1066, Best Score: -144.19790037810287, Avg Score: -1.8614327881820464e+54, Time: 0.08917118006282383
Gen: 1067, Best Score: -144.19790037810287, Avg Score: -1.6692108476077549e+55, Time: 0.0902401151922014
Gen: 1068, Best Score: -143.55734046902913, Avg Score: -1.4131273254323544e+57, Time: 0.09130726681815253
Gen: 1069, Best Score: -144.19790037810287, Avg Score: -1.1316492125089111e+55, Time: 0.09238958219687143
Validation champ met/exceeded the best test score with (UUID('ffe8a280-3d2d-4f89-87a0-3f60bb436585'), {'validation': -140.48131344004233}) on test data.
Gen: 1070, Best Score: -140.2418520403483, Avg Score: -6.5272421346895125e+34, Time: 0.0953652826944987
Gen: 1071, Best Score: -144.3414133947948, Avg Score: -6.312580808278765e+55, Time: 0.09644161277347141
Gen: 1072, Best Score: -144.3414133947948, Avg Score: -4.793478809754075e+63, Time: 0.0974982653061549
Gen: 1073, Best Score: -144.3414133947948, Avg Score: -4.951233556177351e+49, Time: 0.09856576250659095
Gen: 1074, Best Score: -144.3414133947948, Avg Score: -6.1005011428698856e+54, Time: 0.09968179417981042
Gen: 1075, Best Score: -144.3414133947948, Avg Score: -8.420187384502081e+55, Time: 0.10075426631503635
Gen: 1076, Best Score: -144.3414133947948, Avg Score: -6.0594415158326926e+56, Time: 0.10184520469771491
Gen: 1077, Best Score: -144.3414133947948, Avg Score: -3.085593827292084e+101, Time: 0.10286182449923621
Gen: 1078, Best Score: -144.3414133947948, Avg Score: -8.992618503129975e+55, Time: 0.10398554881413778
Gen: 1079, Best Score: -144.3414133947948, Avg Score: -2.5690631699037507e+52, Time: 0.1050885515080558
Validation champ met/exceeded the best test score with (UUID('ff3298a8-2a7b-45fd-8afe-b13841f275ee'), {'validation': -140.48131344004233}) on test data.
Gen: 1080, Best Score: -140.38703827640003, Avg Score: -4.793626281840109e+30, Time: 0.10797742340299818
Gen: 1081, Best Score: -144.19790037810287, Avg Score: -1.1055813240186002e+56, Time: 0.1090731457206938
Gen: 1082, Best Score: -144.19790037810287, Avg Score: -1.0097385501725638e+50, Time: 0.11009988069534302
Gen: 1083, Best Score: -144.19790037810287, Avg Score: -4.84619180652562e+65, Time: 0.11120665894614326
Gen: 1084, Best Score: -144.19790037810287, Avg Score: -7.860872365640169e+48, Time: 0.11225433230400085
Gen: 1085, Best Score: -144.19790037810287, Avg Score: -2.071812504644936e+62, Time: 0.1133120889796151
Gen: 1086, Best Score: -144.19790037810287, Avg Score: -5.79091390447948e+54, Time: 0.11442089981502956
Gen: 1087, Best Score: -144.19790037810287, Avg Score: -5.100581772547072e+68, Time: 0.11548318637741936
Gen: 1088, Best Score: -144.19790037810287, Avg Score: -2.0705836452814137e+48, Time: 0.11664065440495809
Gen: 1089, Best Score: -144.19790037810287, Avg Score: -2.2032250671278323e+53, Time: 0.1176859407292472
Validation champ met/exceeded the best test score with (UUID('ff9d584d-0edd-4e96-b8fb-6542d28dd23c'), {'validation': -224.70970969859252}) on test data.
Gen: 1090, Best Score: -138.61272034567722, Avg Score: -4.63868188989209e+20, Time: 0.12061309556166332
Gen: 1091, Best Score: -144.3414133947948, Avg Score: -2.647274928477259e+55, Time: 0.12166275633705986
Gen: 1092, Best Score: -143.0688107386332, Avg Score: -2.9293264606013984e+56, Time: 0.12274793797069125
Gen: 1093, Best Score: -144.3414133947948, Avg Score: -3.216855532160419e+57, Time: 0.12380078342225817
Gen: 1094, Best Score: -144.19790037810287, Avg Score: -1.1468192752287496e+51, Time: 0.12491586261325412
Gen: 1095, Best Score: -144.3414133947948, Avg Score: -8.510954339719609e+34, Time: 0.12601401845614116
Gen: 1096, Best Score: -144.3414133947948, Avg Score: -6.984650793742696e+49, Time: 0.12707249071862964
